
Eps: 0.001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
161    4.81274   4.79117        14.5836     0.940462,  -0.339899      0.0382757 0.0283366  0.0781002,   0.249757       0.371928    {11.9413,-4.31578}, 
162    4.77675   4.80418         14.339     0.352743,    0.93572      0.0857462 0.0359969  0.0130099,   0.244534       0.794922    {2.06792,5.48557}, 
163     4.7465   4.72394        14.0872     0.936069,  -0.351818      0.0380213 0.0302463  0.0802345,   0.251883       0.361338    {12.0051,-4.51205}, 
164    4.71091   4.73732        13.8406     0.375607,   0.926779      0.0929615 0.0355906  0.0133766,   0.246578       0.801973    {2.14045,5.28138}, 
165    4.67599   4.65116        13.5746     0.927463,  -0.373915      0.0386874  0.034917  0.0861548,   0.266003       0.342009    {12.3182,-4.96618}, 
166    4.64011   4.66563        13.3155     0.392388,     0.9198      0.0989189 0.0358811  0.0144658,   0.259061       0.806336    {2.17703,5.1032}, 
167     4.6013   4.57464        13.0404     0.920219,  -0.391404       0.039099 0.0388146  0.0909856,   0.275129       0.326327    {12.5336,-5.33102}, 
168    4.56532   4.58995        12.7721      0.40859,   0.912718       0.105265 0.0359797  0.0153035,   0.268248       0.810122    {2.20502,4.92562}, 
169    4.52231   4.49387        12.4875      0.91304,  -0.407871      0.0393534 0.0430103  0.0960773,   0.284618       0.311321    {12.7324,-5.68778}, 
170    4.48638   4.50992        12.2103     0.433336,   0.901232       0.117957 0.0359313  0.0160511,   0.277279       0.816234    {2.26406,4.70869}, 
171    4.43526   4.40361        11.9012     0.901694,  -0.432374      0.0404311 0.0511152   0.106307,   0.309069       0.288996    {13.2002,-6.32966}, 
172     4.3988   4.42109        11.6016     0.464722,   0.885457        0.14014 0.0364565  0.0174814,   0.299625       0.823437    {2.33969,4.45792}, 
173    4.33368   4.29701        11.2479     0.885827,  -0.464016      0.0426837 0.0651263   0.124088,   0.353658       0.259755    {14.0018,-7.33448}, 
174    4.29587   4.31681        10.9066     0.497598,   0.867408       0.173221 0.0378104  0.0198059,   0.341287       0.829614    {2.40294,4.18879}, 
175    4.20967   4.16656        10.4879     0.867563,  -0.497328      0.0461713 0.0861942   0.150253,   0.418716       0.228227    {15.0423,-8.62297}, 
176    4.16962   4.18952        10.0861     0.509719,   0.860341       0.183878 0.0400565  0.0229623,   0.401805       0.829098    {2.35846,3.98078}, 
177    4.07589   4.03132        9.65974     0.860644,  -0.509208      0.0461713  0.093726   0.158198,   0.426355       0.216124    {15.0653,-8.91353}, 
178    4.03615   4.05483        9.25313     0.530206,   0.847869       0.212258  0.039737  0.0235108,   0.406607       0.829905    {2.33629,3.73602}, 
179    3.92361   3.87487        8.78514     0.847962,  -0.530056      0.0478179  0.112541   0.179967,    0.46799       0.195439    {15.5965,-9.74929}, 
180    3.88307   3.90021        8.34147     0.563065,   0.826413       0.285599 0.0405478  0.0253462,   0.443666       0.831783    {2.33664,3.42949}, 
181    3.72226   3.66419        7.74782     0.826614,  -0.562769      0.0526375  0.160811   0.236023,    0.59365       0.163064    {17.0574,-11.6129}, 
182    3.67874   3.69381        7.19838     0.613873,   0.789405        0.55143 0.0435109  0.0296228,   0.549444       0.832775    {2.34367,3.01382}, 
183    3.34024   3.25851         6.1446     0.789501,  -0.613749      0.0669021  0.338508   0.435301,    1.05378       0.112455    {21.0254,-16.3449}, 
184    3.28742   3.29957        5.24705     0.661351,   0.750076        1.32294 0.0528193  0.0410612,    0.89754       0.821722    {2.14363,2.43121}, 
185    2.41249   2.30727        3.10228       0.7501,  -0.661324      0.0792057  0.874929   0.992307,    2.14477      0.0654087    {23.8693,-21.0443}, 
186    2.35308   2.35965        1.83513     0.727104,   0.686527        1.38004 0.0594122  0.0523807,    1.26715       0.768833    {1.39191,1.31424}, 
187    1.34964   1.41221       0.513738    -0.686498,   0.727131      0.0426837   1.00343   0.947433,    1.32139      0.0339728    {-11.8145,12.5138}, 
188    1.37895   1.38118       0.144098     0.573145,   0.819454      0.0421749 0.0293023  0.0310367,    0.36964       0.651199    {0.311923,0.445972}, 
