
Eps: 0.001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                      grad, H1
 16    3.53992   12.4622        6.92538     0.177966,    1.19112        2.07029    0.3864    2.87818,    2.21012        1.09282    {102.583,-13.7719},  { { 0.0350338,0.248034 }, {0.248034, 1.76104} }
 17    3.17148   9.99625        5.10035     0.168202,    1.00485        2.07721  0.368442    2.46595,    1.82503       0.919354    {83.0587,-12.4099},  { { 0.0387299,0.245662 }, {0.245662, 1.56323} }
 18    2.82209   7.90896        3.62509       0.1578,   0.835418        2.08651  0.349392    2.08729,    1.47526       0.762646    {65.9945,-11.0468},  { { 0.0433019,0.244404 }, {0.244404, 1.38446} }
 19    2.49284   6.16585        2.46277     0.146662,   0.682814         2.0978  0.329251    1.74311,    1.16233       0.622625    {51.2411,-9.6788},  { { 0.0491217,0.244905 }, {0.244905, 1.22602} }
 20    2.18517   4.73345        1.57712     0.134581,   0.546633        2.11283  0.307667    1.43241,   0.885643       0.498843    {38.6722,-8.3064},  { { 0.0567769,0.248135 }, {0.248135, 1.08943} }
 21    1.90083    3.5785       0.931444     0.121291,    0.42647        2.13302  0.284347    1.15494,    0.64568       0.390772    {28.1357,-6.92699},  { { 0.067322,0.255935 }, {0.255935, 0.977974} }
 22    1.64211   2.66883       0.488988     0.106339,   0.321549        2.16187  0.258716    0.90967,   0.442457       0.297439    {19.4733,-5.53833},  { { 0.0828043,0.271947 }, {0.271947, 0.898135} }
 23    1.41222   1.97368       0.212673    0.0889331,    0.23051        2.20478  0.229891   0.695147,   0.276315       0.217111    {12.5039,-4.13515},  { { 0.107871,0.304676 }, {0.304676, 0.865538} }
 24    1.21614   1.46546      0.0650413     0.067389,   0.150372        2.26076  0.196078   0.508224,   0.147631       0.146109    {7.01734,-2.70736},  { { 0.155891,0.379172 }, {0.379172, 0.927253} }
 25    1.06379   1.12551     0.00784403    0.0368986,  0.0723607        1.68916   0.15235   0.339956,  0.0571972      0.0740501    {2.74194,-1.2288},  { { 0.289219,0.615336 }, {0.615336, 1.31418} }
 26    1.00146   1.00328    1.43507e-05   0.00340055, 0.00716049       0.720423 0.0623275   0.122229, 0.00782968     0.00742864    {-0.137059,0.0698897},  { { 1.16249,2.32839 }, {2.32839, 4.66858} }
 27   0.999013  0.998118    1.81542e-06  -0.00204962,-0.00400349       0.5692470.00244983 0.00515858,1.25352e-05    -0.00426599    {-0.0386167,0.0183392},  { { 1.03808,2.0741 }, {2.0741, 4.14911} }
 28    1.00018    1.0004    1.77671e-07  0.000364599,0.000767465       0.7572140.00116674 0.00227898,1.63775e-06    0.000800041    {-0.0148986,0.00762743},  { { 1.01549,2.03135 }, {2.03135, 4.06842} }
 29   0.999903  0.999816    1.77566e-08 -0.000193834,-0.000378447       0.5902520.0002760790.000581136,1.59914e-07   -0.000404537    {-0.00386594,0.00183659},  { { 1.00369,2.00718 }, {2.00718, 4.01897} }
