  i                 x,y         f(x,y)   (s1,s2)    lambdax2-x1, y2-y1, f2-f1     angle       grad, H1
683  0.896775,  0.88739      0.0194617
684   1.10182,  1.11108      0.0189354
685  0.899568, 0.890438      0.0184226
686   1.09906,  1.10807       0.017923
687  0.902294, 0.893411      0.0174362
688   1.09637,  1.10513       0.016962
689  0.904953, 0.896312         0.0165
690   1.09374,  1.10226      0.0160499
691  0.907547, 0.899143      0.0156115
692   1.09118,  1.09947      0.0151844
693  0.910078, 0.901904      0.0147685
694   1.08868,  1.09674      0.0143633
695  0.912547, 0.904597      0.0139687
696   1.08624,  1.09408      0.0135844
697  0.914955, 0.907223      0.0132102
698   1.08386,  1.09149      0.0128457
699  0.917303, 0.909785      0.0124908
700   1.08155,  1.08896      0.0121452
701  0.919592, 0.912283      0.0118086
702   1.07928,  1.08649       0.011481
703  0.921825, 0.914718       0.011162
704   1.07708,  1.08409      0.0108514
705  0.924002, 0.917093       0.010549
706   1.07493,  1.08174      0.0102547
707  0.926124, 0.919408     0.00996813
708   1.07284,  1.07946      0.0096892
709  0.928193, 0.921665      0.0094177
710   1.07079,  1.07723     0.00915344
711  0.930209, 0.923864     0.00889623
712    1.0688,  1.07506     0.00864591
713  0.932174, 0.926008     0.00840228
714   1.06686,  1.07294      0.0081652
715  0.934089, 0.928097     0.00793448
716   1.06497,  1.07088     0.00770998
717  0.935956, 0.930133     0.00749152
718   1.06313,  1.06887     0.00727896
719  0.937774, 0.932117     0.00707215
720   1.06133,  1.06691     0.00687093
721  0.939546,  0.93405     0.00667517
722   1.05959,    1.065     0.00648473
723  0.941272, 0.935933     0.00629947
724   1.05788,  1.06314     0.00611925
725  0.942953, 0.937767     0.00594395
726   1.05622,  1.06133     0.00577344
727   0.94459, 0.939553     0.00560759
728   1.05461,  1.05957     0.00544629
729  0.946185, 0.941293     0.00528942
730   1.05303,  1.05785     0.00513685
731  0.947739, 0.942988     0.00498849
732    1.0515,  1.05618     0.00484422
733  0.949251, 0.944638     0.00470393
734   1.05001,  1.05455     0.00456751
735  0.950724, 0.946244     0.00443488
736   1.04855,  1.05297     0.00430592
737  0.952158, 0.947808     0.00418055
738   1.04714,  1.05143     0.00405866
739  0.953553, 0.949331     0.00394016
740   1.04576,  1.04992     0.00382498
741  0.954912, 0.950813     0.00371301
742   1.04442,  1.04846     0.00360417
743  0.956235, 0.952256     0.00349838
744   1.04312,  1.04704     0.00339556
745  0.957522,  0.95366     0.00329563
746   1.04185,  1.04565     0.00319851
747  0.958774, 0.955027     0.00310413
748   1.04061,   1.0443     0.00301241
749  0.959993, 0.956356     0.00292328
750   1.03941,  1.04299     0.00283668
